"","id","Condition","Task","ElectrodeSite","ern.l","ern.v","p1.l","p1.v","n1.l","n1.v","p2.l","p2.v","n300.l","n300.v","p3.l","p3.v","n400.l","n400.v","p4.l","p4.v","lpc.l","lpc.v"
"200",116,"incongruent","stroop","pz","362","10.533592","106","-2.600177","106","-2.600177","210","9.600041","288","4.269981","362","10.533592","456","4.315338","544","7.851602","604","8.233972"
"201",116,"incongruent","stroop","cz","362","5.947824","106","-3.406299","106","-3.406299","240","7.519929","298","2.267011","362","5.947824","456","0.522042","520","5.296696","632","3.662115"
"202",116,"incongruent","simon","fz","290","2.336076","118","-3.700517","118","-3.700517","216","0.361671","258","-0.057544","290","2.336076","434","-4.705151","506","0.599651","752","-0.673747"
"203",116,"incongruent","simon","pz","378","9.880283","92","-2.814922","92","-2.814922","216","4.186181","236","3.007579","378","9.880283","442","4.29951","520","8.962182","604","4.690413"
"204",116,"incongruent","simon","cz","290","6.618601","118","-4.871574","118","-4.871574","188","1.046671","230","2.091373","290","6.618601","442","2.563209","528","6.814994","604","1.687623"
"205",117,"incongruent","stroop","fz","358","6.967783","118","-7.626957","118","-7.626957","204","8.441688","308","-0.378956","358","6.967783","444","-2.647279","538","2.081321","642","3.520366"
"206",117,"incongruent","stroop","pz","360","6.986225","120","-5.707346","120","-5.707346","200","6.640127","308","3.673848","360","6.986225","442","2.13921","528","3.369365","646","5.15187"
"207",117,"incongruent","stroop","cz","360","7.681271","118","-8.26803","118","-8.26803","204","8.059693","306","1.933834","360","7.681271","442","-0.588739","534","3.388069","644","5.305315"
"208",117,"incongruent","simon","fz","276","1.07316","144","-1.394179","144","-1.394179","204","0.379847","246","-1.065631","276","1.07316","328","-1.741197","526","1.881253","772","2.755709"
"209",117,"incongruent","simon","pz","466","1.425581","132","-1.456785","132","-1.456785","206","1.08359","244","0.021064","466","1.425581","514","-0.053525","526","1.339713","622","2.006321"
"210",117,"incongruent","simon","cz","276","1.383973","132","-2.2891","132","-2.2891","206","0.628863","246","-0.564424","276","1.383973","328","-1.1204","526","1.660383","622","2.267623"
"211",118,"incongruent","simon","fz","258","3.959989","86","-3.542871","86","-3.542871","146","-0.862628","170","-3.633275","258","3.959989","318","-0.354442","394","2.092207","778","0.194952"
"212",118,"incongruent","simon","pz","336","4.396175","84","-1.199974","84","-1.199974","162","0.37672","216","-1.937645","336","4.396175","448","-0.02234","508","3.053966","760","1.972629"
"213",118,"incongruent","simon","cz","276","3.816085","120","-3.838814","120","-3.838814","148","-1.673184","176","-4.06578","276","3.816085","308","0.124683","508","2.061997","760","0.873279"
"214",120,"incongruent","simon","fz","284","4.149335","108","-5.865789","108","-5.865789","168","4.06028","226","0.288804","284","4.149335","492","-2.660159","584","-0.343381","782","0.992171"
"215",120,"incongruent","simon","pz","376","9.373953","74","-5.028531","74","-5.028531","194","4.423309","236","-0.967187","376","9.373953","486","3.228404","580","4.441901","630","1.769722"
"216",120,"incongruent","simon","cz","372","8.776932","110","-5.807437","110","-5.807437","186","5.633196","228","1.24823","372","8.776932","494","1.383993","584","2.653398","752","0.174547"
"217",121,"incongruent","stroop","fz","358","3.544559","100","-9.886991","100","-9.886991","162","3.404648","218","-2.115898","358","3.544559","436","-2.143584","476","0.777858","630","1.835809"
"218",121,"incongruent","stroop","pz","356","7.147937","100","-5.011461","100","-5.011461","160","4.41152","220","-3.144805","356","7.147937","442","2.733892","498","4.860527","628","2.49468"
"219",121,"incongruent","stroop","cz","358","3.565032","100","-9.423252","100","-9.423252","160","4.216885","222","-2.824836","358","3.565032","434","-2.422024","486","1.038133","630","0.318731"
"220",121,"incongruent","simon","fz","332","0.402774","94","-6.745987","94","-6.745987","202","-3.555059","180","-5.763257","332","0.402774","436","-5.030395","592","-3.783849","704","1.619596"
"221",121,"incongruent","simon","pz","464","9.417794","60","-2.179955","60","-2.179955","156","0.960976","224","-4.24223","464","9.417794","414","7.745718","530","8.086446","702","3.855168"
"222",121,"incongruent","simon","cz","372","2.410369","92","-4.876573","92","-4.876573","158","-0.126595","224","-6.952455","372","2.410369","434","-0.017567","530","1.708894","704","2.796914"
"223",122,"incongruent","stroop","fz","312","2.732346","106","-3.65295","106","-3.65295","248","8.549001","292","3.843553","312","2.732346","438","-6.410491","512","-5.975393","794","-7.736701"
"224",122,"incongruent","stroop","pz","316","9.684009","76","-1.116258","76","-1.116258","210","12.776454","292","9.529933","316","9.684009","454","-1.512145","544","-0.384683","654","-2.614782"
"225",122,"incongruent","stroop","cz","314","8.117976","106","-1.89687","106","-1.89687","212","10.935761","292","8.491227","314","8.117976","438","-1.904883","512","-1.246123","630","-3.666436"
"226",122,"incongruent","simon","fz","324","4.618236","104","-1.490383","104","-1.490383","168","2.968286","236","-0.652378","324","4.618236","418","-1.869988","562","-0.040182","622","-0.543117"
