"","id","mus_code","Task","Condition","ElectrodeSite","max_p3","min_p3","beta","r2"
"168",117,"mus","stroop","ic","cz",6.34685605239913,2.85245709238179,0.0508451030353976,0.613491812843714
"169",121,"nm","stroop","ic","cz",3.44775423742938,-3.69672062132298,0.206897561248473,0.984186500678227
"170",122,"mus","stroop","ic","cz",7.61599366677222,8.43131687805204,-0.0627317122736602,0.807182363355628
"171",123,"mus","stroop","ic","cz",1.55314851419143,-5.533184580257,0.231000287504758,0.946180332817883
"172",124,"mus","stroop","ic","cz",2.61785011916468,1.21746145897568,0.0620215242958964,0.87729192307576
"173",126,"mus","stroop","ic","cz",2.62015783070282,1.66158680688655,-0.00629925075939355,0.057678803450792
"174",128,"nm","stroop","ic","cz",5.09862747287545,-1.84807424876252,0.107671957375134,0.898952022889644
"175",129,"nm","stroop","ic","cz",4.16727929534508,-4.74531266145564,0.127359014076365,0.903029463336284
"176",130,"nm","stroop","ic","cz",4.35875357077382,1.0206686721888,0.0583935046064558,0.797834880048953
"177",131,"nm","stroop","ic","cz",9.73203906601556,4.84188976850386,0.116165820103845,0.92291329490492
"178",132,"mus","stroop","ic","cz",3.51880733654439,1.84112399793337,0.0130190108553674,0.433442772885965
"179",103,"mus","stroop","ic","fz",3.88291853469109,-1.73860677322045,0.148140588742801,0.896898945287431
"180",104,"nm","stroop","ic","fz",6.45,-0.0596615056415725,0.158291615053169,0.960573511868174
"181",105,"nm","stroop","ic","fz",-1.37768593856769,-2.80320284661922,-0.000199915400888894,1.86327318875354e-05
"182",106,"nm","stroop","ic","fz",-0.114164713921435,1.56943775937068,-0.198038791474688,0.885095526200103
"183",108,"mus","stroop","ic","fz",-4.0548343360944,-4.02334402759954,-0.0224094375483352,0.156421905564733
"184",109,"nm","stroop","ic","fz",-10.6289973667106,-8.99300063332278,-0.0993435472057021,0.751689266673524
"185",110,"mus","stroop","ic","fz",2.8740280661989,0.583282511958134,0.0886651047879361,0.963720083683094
"186",111,"mus","stroop","ic","fz",0.326516958050699,-1.05332564457259,0.0740997172314335,0.382363215810571
"187",112,"mus","stroop","ic","fz",7.46083591940134,8.7889311178147,-0.0799705944294867,0.427631659905158
"188",113,"nm","stroop","ic","fz",1.23068973850436,3.01133126114565,-0.207721817969701,0.886127115009444
"189",115,"nm","stroop","ic","fz",2.71522872952117,4.42437881035316,-0.121602753873516,0.782836671069762
"190",116,"nm","stroop","ic","fz",-0.254486958550691,-1.88808426526225,0.0333196085438302,0.259943394153975
"191",117,"mus","stroop","ic","fz",6.51109391510141,0.544706954884085,0.198857959356591,0.919050411956646
"192",121,"nm","stroop","ic","fz",2.9253421276312,-3.78769745504242,0.18129436508042,0.996321424009218
"193",122,"mus","stroop","ic","fz",2.48475068748854,4.33384406926551,-0.163145788782308,0.976032027650554
"194",123,"mus","stroop","ic","fz",-2.80627156214063,-7.64185763570607,0.164869933665733,0.825401439170727
"195",124,"mus","stroop","ic","fz",2.68463393943434,2.61254927417876,0.00377128209850693,0.0124536561513812
"196",126,"mus","stroop","ic","fz",0.665497991700138,0.978509608173197,-0.00619647100610456,0.0132860832334291
"197",128,"nm","stroop","ic","fz",4.26396720054666,-1.80190503491608,0.044678154828103,0.49525714985994
"198",129,"nm","stroop","ic","fz",-1.4768386860219,-5.38871448809186,0.0353518069543758,0.401502864346946
"199",130,"nm","stroop","ic","fz",1.05352649122515,-0.257134264428926,0.00863857110073812,0.0209435384524879
"200",131,"nm","stroop","ic","fz",11.1537167713871,7.00143450942485,0.0506915277478003,0.528814910781404
"201",132,"mus","stroop","ic","fz",1.8151351977467,0.732054649089182,0.00270593170911052,0.00909201033224132
"202",103,"mus","stroop","c","fz",1.69074772087132,0.947512108131532,0.0322509193836316,0.158101049173065
"203",104,"nm","stroop","c","fz",5.499,1.09089176847053,0.0857319857839587,0.8768769167355
"204",105,"nm","stroop","c","fz",-1.98168672188797,-2.62021024649589,0.0342303524698341,0.509074100933283
"205",106,"nm","stroop","c","fz",1.30958402359961,2.36356955717405,-0.131293464502864,0.923338422058465
"206",108,"mus","stroop","c","fz",-4.08311744804253,-2.97929917834703,-0.0251440078216298,0.167553700846002
"207",109,"nm","stroop","c","fz",-10.2188489358511,-9.00322169630506,-0.0532711472265977,0.503365814181089
"208",110,"mus","stroop","c","fz",3.3607330377827,0.708600139997667,0.0604506711449407,0.755709839614064
"209",111,"mus","stroop","c","fz",0.404795553407443,-1.46685285245246,0.090743112534146,0.814418073442958
"210",112,"mus","stroop","c","fz",6.96474262095632,7.6582159297345,-0.141823154595775,0.505641901021465
"211",113,"nm","stroop","c","fz",0.01019789670172,3.3566003899935,-0.378687927322424,0.96988576132709
"212",115,"nm","stroop","c","fz",3.8498227862869,5.00854807419876,-0.0912549219417768,0.857106328850817
"213",116,"nm","stroop","c","fz",-1.64626254562424,-1.03478333694438,-0.0233744814617236,0.225856810040555
"214",117,"mus","stroop","c","fz",5.76837194380094,0.899525091248481,0.152496114091243,0.919349939515357
"215",121,"nm","stroop","c","fz",5.32585711904802,-1.92151919134681,0.100427045048914,0.734107682935888
